step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,1,2.0
75.0,-0.02,1,7.0
80.0,-0.05,1,16.0
85.0,-0.09,1,17.0
90.0,-0.09,2,23.0
95.0,-0.12999999999999998,2,33.0
100.0,-0.12999999999999998,3,38.0
105.0,-0.15000000000000002,3,53.0
110.0,-0.15000000000000002,4,73.0
115.0,-0.34,6,99.0
120.0,-0.28,7,134.0
125.0,-0.3599999999999999,9,178.0
130.0,-0.4500000000000002,10,224.0
135.0,-0.4500000000000002,9,260.0
140.0,-0.73,9,305.0
145.0,-0.44999999999999973,9,350.0
150.0,-0.8900000000000001,11,405.0
155.0,-0.8900000000000001,13,465.0
160.0,-1.1400000000000001,17,541.0
165.0,-0.8600000000000003,19,631.0
170.0,-0.8600000000000003,14,566.0
175.0,0.0,17,640.0
180.0,0.0,20,735.0
185.0,-1.6199999999999992,22,843.0
190.0,-1.6199999999999992,19,856.0
195.0,-1.0000000000000009,20,955.0
200.0,-1.8399999999999999,22,1062.0
205.0,-1.8399999999999999,25,1182.0
210.0,-2.1899999999999995,26,1311.0
215.0,-2.1899999999999995,24,1374.0
220.0,-1.6300000000000008,24,1491.0
225.0,-1.1899999999999995,26,1618.0
230.0,-1.1899999999999995,29,1741.0
235.0,-2.289999999999999,32,1894.0
240.0,-2.289999999999999,38,2058.0
245.0,-2.879999999999999,39,2264.0
250.0,-2.620000000000001,34,2323.0
255.0,-1.1799999999999997,34,2472.0
260.0,-1.1799999999999997,38,2630.0
265.0,-3.0700000000000003,40,2824.0
270.0,-3.0700000000000003,48,3047.0
275.0,-3.9800000000000004,51,3293.0
280.0,-2.5799999999999983,58,3571.0
285.0,-2.8800000000000026,63,3874.0
290.0,-2.8800000000000026,46,3996.0
295.0,-3.539999999999999,50,4057.0
300.0,-0.6400000000000006,58,4321.0
305.0,-0.6400000000000006,64,4543.0
310.0,-4.359999999999999,67,4875.0
315.0,-5.729999999999997,71,5187.0
320.0,-5.729999999999997,67,5411.0
325.0,-4.720000000000006,58,5611.0
330.0,-1.4199999999999946,61,5852.0
335.0,-1.4199999999999946,72,6175.0
340.0,-5.920000000000002,81,6557.0
345.0,-5.920000000000002,67,6829.0
350.0,-5.739999999999995,81,7198.0
355.0,-5.739999999999995,91,7574.0
360.0,-6.780000000000001,95,8042.0
365.0,-8.219999999999999,100,8496.0
370.0,-8.219999999999999,93,8809.0
375.0,-6.680000000000007,81,9078.0
380.0,-1.4299999999999926,87,9379.0
385.0,-1.4299999999999926,98,9833.0
390.0,-8.280000000000001,108,10355.0
395.0,-5.420000000000002,115,10918.0
400.0,-5.420000000000002,100,11302.0
405.0,-8.230000000000004,98,11634.0
410.0,-3.1099999999999994,103,12057.0
415.0,-4.3700000000000045,107,12543.0
420.0,-5.009999999999991,113,13088.0
425.0,-5.009999999999991,118,13645.0
430.0,-9.959999999999994,125,14227.0
435.0,-5.820000000000022,128,14862.0
440.0,-11.189999999999998,132,15478.0
445.0,-11.189999999999998,140,16163.0
450.0,-12.5,149,16892.0
455.0,-12.5,153,17616.0
460.0,-13.280000000000001,160,18400.0
465.0,-13.280000000000001,164,19211.0
470.0,-14.530000000000001,173,20057.0
475.0,-8.539999999999992,183,20953.0
480.0,-8.539999999999992,188,21814.0
485.0,-15.829999999999984,189,22768.0
490.0,-13.0,169,22960.0
495.0,-2.2200000000000273,165,23457.0
500.0,-3.6699999999999875,169,23831.0
505.0,-6.4199999999999875,174,24472.0
510.0,-7.850000000000023,179,25305.0
515.0,-8.889999999999986,183,26202.0
520.0,-9.269999999999982,190,27136.0
525.0,-9.689999999999998,198,28113.0
530.0,-9.689999999999998,200,29062.0
535.0,-17.650000000000034,211,30063.0
540.0,-10.279999999999973,222,31150.0
545.0,-10.279999999999973,223,32167.0
550.0,-19.120000000000005,232,33307.0
555.0,-19.120000000000005,221,34319.0
560.0,-19.189999999999998,223,35235.0
565.0,-9.009999999999991,228,36278.0
570.0,-10.620000000000005,230,37416.0
575.0,-11.470000000000027,235,38586.0
580.0,-11.740000000000009,243,39791.0
585.0,-12.109999999999957,246,41016.0
590.0,-12.300000000000011,252,42265.0
595.0,-12.54000000000002,260,43549.0
600.0,-12.920000000000016,265,44863.0
605.0,-13.17999999999995,274,46210.0
610.0,-13.17999999999995,278,47469.0
615.0,-23.410000000000025,286,48785.0
620.0,-13.160000000000025,291,50234.0
625.0,-24.329999999999927,296,51514.0
630.0,-24.329999999999927,297,52895.0
635.0,-25.610000000000014,299,54288.0
640.0,-13.530000000000086,303,55724.0
645.0,-15.069999999999936,308,57253.0
650.0,-15.450000000000045,313,58810.0
655.0,-15.75,318,60395.0
660.0,-16.0,327,62010.0
665.0,-16.389999999999986,335,63664.0
670.0,-16.730000000000018,341,65351.0
675.0,-17.09999999999991,347,67074.0
680.0,-17.420000000000073,354,68830.0
685.0,-17.75999999999999,357,70611.0
690.0,-17.870000000000005,365,72414.0
695.0,-18.350000000000023,370,74261.0
700.0,-18.5,371,76112.0
705.0,-18.589999999999918,376,77980.0
