step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,1,2.0
80.0,0.0,1,7.0
85.0,-0.07,1,12.0
90.0,-0.13,3,23.0
95.0,-0.13,3,38.0
100.0,-0.31,5,61.0
105.0,-0.31,3,46.0
110.0,-0.010000000000000009,5,65.0
115.0,-0.010000000000000009,7,99.0
120.0,-0.55,8,139.0
125.0,-0.55,8,165.0
130.0,-0.5799999999999998,7,205.0
135.0,-0.4500000000000002,6,216.0
140.0,-0.4500000000000002,7,250.0
145.0,-0.6099999999999999,8,287.0
150.0,-0.6099999999999999,10,334.0
155.0,-0.8399999999999999,14,392.0
160.0,-0.8399999999999999,14,412.0
165.0,-0.71,15,486.0
170.0,-0.71,17,560.0
175.0,-1.3399999999999999,16,644.0
180.0,-1.3600000000000003,18,714.0
185.0,-1.3600000000000003,16,768.0
190.0,-1.1700000000000008,19,850.0
195.0,-1.1700000000000008,20,947.0
200.0,-1.7699999999999996,24,1059.0
205.0,-1.7699999999999996,28,1199.0
210.0,-2.369999999999999,30,1344.0
215.0,-2.369999999999999,24,1404.0
220.0,-1.7699999999999996,28,1533.0
225.0,-2.4400000000000013,32,1680.0
230.0,-2.4400000000000013,26,1791.0
235.0,-2.2399999999999984,31,1930.0
240.0,-2.2399999999999984,39,2110.0
245.0,-3.200000000000003,45,2324.0
250.0,-3.200000000000003,32,2429.0
255.0,-2.6799999999999997,42,2610.0
260.0,-2.6799999999999997,48,2843.0
265.0,-3.8299999999999983,46,3056.0
270.0,-2.75,36,3154.0
275.0,-2.75,54,3390.0
280.0,-4.439999999999998,61,3684.0
285.0,-4.439999999999998,50,3812.0
290.0,-3.3800000000000026,51,4045.0
295.0,-3.3800000000000026,66,4342.0
300.0,-5.130000000000003,75,4709.0
305.0,-5.130000000000003,53,4836.0
310.0,-4.229999999999997,68,5134.0
315.0,-6.049999999999997,85,5526.0
320.0,-6.049999999999997,81,5754.0
325.0,-5.260000000000005,67,6100.0
330.0,-5.260000000000005,85,6485.0
335.0,-7.010000000000005,104,6970.0
340.0,-7.010000000000005,88,7214.0
345.0,-6.279999999999987,85,7618.0
350.0,-6.279999999999987,105,8084.0
355.0,-7.88000000000001,113,8647.0
360.0,-7.209999999999994,92,8897.0
365.0,-7.209999999999994,99,9359.0
370.0,-8.760000000000005,122,9920.0
375.0,-8.760000000000005,120,10265.0
380.0,-8.079999999999998,106,10810.0
385.0,-8.079999999999998,121,11370.0
390.0,-10.090000000000003,143,12049.0
395.0,-10.090000000000003,126,12423.0
400.0,-9.25,121,13035.0
405.0,-11.11999999999999,135,13670.0
410.0,-11.11999999999999,146,14060.0
415.0,-9.51000000000002,136,14457.0
420.0,-1.0699999999999932,126,14845.0
425.0,-1.0699999999999932,133,15483.0
430.0,-11.680000000000007,155,16211.0
435.0,-11.680000000000007,151,15121.0
440.0,4.880000000000024,147,15866.0
445.0,4.880000000000024,118,16153.0
450.0,-8.800000000000011,112,16708.0
455.0,-10.060000000000002,124,17283.0
460.0,-10.060000000000002,146,17624.0
465.0,-9.139999999999986,157,18383.0
470.0,-9.139999999999986,166,19192.0
475.0,-14.590000000000003,188,20078.0
480.0,-14.590000000000003,210,20684.0
485.0,-13.659999999999997,229,21082.0
490.0,-4.130000000000024,241,22257.0
495.0,-4.130000000000024,227,22965.0
500.0,-16.539999999999992,217,23252.0
505.0,-2.8700000000000045,204,23597.0
510.0,-3.4499999999999886,187,23918.0
515.0,-3.210000000000008,189,24323.0
520.0,-4.049999999999983,193,24864.0
525.0,-5.409999999999997,201,25553.0
530.0,-6.890000000000015,205,26405.0
535.0,-8.52000000000001,212,27390.0
540.0,-9.849999999999966,213,28433.0
545.0,-10.430000000000007,218,29510.0
550.0,-10.770000000000039,220,30606.0
555.0,-18.389999999999986,225,31454.0
560.0,-9.360000000000014,234,32519.0
565.0,-10.839999999999975,242,33611.0
570.0,-12.110000000000014,249,34829.0
575.0,-12.110000000000014,268,35752.0
580.0,-19.639999999999986,261,36712.0
585.0,-6.259999999999991,266,37700.0
590.0,-6.259999999999991,261,36434.0
595.0,2.259999999999991,251,37704.0
600.0,2.259999999999991,251,38727.0
605.0,-20.29000000000002,254,39689.0
610.0,-8.649999999999977,270,40788.0
615.0,-11.860000000000014,276,42120.0
620.0,-11.860000000000014,251,43045.0
625.0,-20.20999999999998,235,43597.0
630.0,-5.520000000000039,217,44176.0
635.0,-5.789999999999964,221,44866.0
640.0,-6.900000000000034,234,45660.0
645.0,-7.939999999999998,245,46672.0
650.0,-10.120000000000005,256,46476.0
655.0,5.410000000000025,261,46392.0
660.0,5.410000000000025,271,47593.0
665.0,-22.860000000000014,280,48862.0
670.0,-12.21999999999997,296,50199.0
675.0,-14.79000000000002,315,51746.0
680.0,-15.79000000000002,322,53335.0
685.0,-15.79000000000002,312,54776.0
690.0,-27.069999999999936,321,56362.0
695.0,-27.069999999999936,306,55097.0
700.0,0.049999999999954525,297,56592.0
705.0,0.049999999999954525,290,57894.0
