step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,-0.04,2,6.0
80.0,-0.1,2,16.0
85.0,-0.1,1,15.0
90.0,-0.03999999999999998,2,21.0
95.0,-0.03999999999999998,3,35.0
100.0,-0.22999999999999998,3,44.0
105.0,-0.10000000000000003,4,63.0
110.0,-0.19999999999999996,5,84.0
115.0,-0.24,7,116.0
120.0,-0.3600000000000001,10,157.0
125.0,-0.45999999999999996,10,207.0
130.0,-0.45999999999999996,6,127.0
135.0,0.43999999999999995,9,165.0
140.0,0.43999999999999995,6,120.0
145.0,0.13000000000000012,6,134.0
150.0,-0.42000000000000015,7,169.0
155.0,-0.42000000000000015,9,168.0
160.0,-0.34999999999999987,14,222.0
165.0,-0.34999999999999987,12,220.0
170.0,-0.47,13,282.0
175.0,-0.47,14,349.0
180.0,-1.19,15,422.0
185.0,-1.19,18,470.0
190.0,-1.0700000000000003,16,562.0
195.0,-1.2000000000000002,17,607.0
200.0,-1.2000000000000002,21,707.0
205.0,-1.83,24,821.0
210.0,-1.83,26,915.0
215.0,-1.9800000000000004,30,1061.0
220.0,-1.9800000000000004,22,1116.0
225.0,-1.5199999999999996,23,1205.0
230.0,-1.049999999999999,24,1321.0
235.0,-1.049999999999999,26,1436.0
240.0,-2.08,33,1597.0
245.0,-2.66,36,1738.0
250.0,-2.66,35,1866.0
255.0,-2.580000000000002,31,1986.0
260.0,-1.0599999999999987,31,2124.0
265.0,-1.5100000000000016,33,2282.0
270.0,-1.5100000000000016,35,2416.0
275.0,-2.75,43,2614.0
280.0,-2.75,46,2822.0
285.0,-3.789999999999999,50,3070.0
290.0,-3.789999999999999,44,3216.0
295.0,-3.4499999999999957,54,3473.0
300.0,-4.590000000000003,60,3735.0
305.0,-4.590000000000003,55,3935.0
310.0,-4.079999999999998,51,4121.0
315.0,-1.6200000000000045,52,4349.0
320.0,-1.6200000000000045,62,4615.0
325.0,-4.959999999999994,63,4930.0
330.0,-4.959999999999994,55,5159.0
335.0,-4.700000000000003,58,5401.0
340.0,-2.4100000000000037,68,5713.0
345.0,-2.4100000000000037,71,5971.0
350.0,-5.189999999999998,76,6350.0
355.0,-6.740000000000002,81,6726.0
360.0,-6.740000000000002,77,7037.0
365.0,-6.1299999999999955,74,7349.0
370.0,-2.8400000000000034,77,7695.0
375.0,-2.8400000000000034,89,8107.0
380.0,-7.450000000000003,92,8562.0
385.0,-7.450000000000003,88,8950.0
390.0,-7.519999999999996,96,9411.0
395.0,-7.519999999999996,103,9895.0
400.0,-8.560000000000002,104,10414.0
405.0,-8.200000000000003,91,10806.0
410.0,-8.200000000000003,111,11311.0
415.0,-9.530000000000001,125,11915.0
420.0,-9.530000000000001,119,12426.0
425.0,-9.849999999999994,108,12894.0
430.0,-3.960000000000008,115,13383.0
435.0,-3.960000000000008,123,13852.0
440.0,-9.280000000000001,137,14482.0
445.0,-6.199999999999989,145,15149.0
450.0,-7.0,150,15891.0
455.0,-7.449999999999989,157,16665.0
460.0,-7.800000000000011,162,17464.0
465.0,-7.800000000000011,164,18252.0
470.0,-14.300000000000011,171,19103.0
475.0,-12.259999999999991,155,19435.0
480.0,-3.240000000000009,148,19950.0
485.0,-4.269999999999982,155,20303.0
490.0,-6.050000000000011,162,20963.0
495.0,-7.6299999999999955,168,21765.0
500.0,-7.6299999999999955,176,22573.0
505.0,-15.210000000000008,186,23463.0
510.0,-9.060000000000002,194,24410.0
515.0,-9.060000000000002,197,25329.0
520.0,-17.019999999999982,208,26347.0
525.0,-17.019999999999982,224,27431.0
530.0,-19.329999999999984,231,28578.0
535.0,-11.520000000000039,244,29771.0
540.0,-12.050000000000011,253,31015.0
545.0,-12.050000000000011,232,31961.0
550.0,-19.44999999999999,222,32657.0
555.0,-6.9599999999999795,218,33409.0
560.0,-7.519999999999982,220,34301.0
565.0,-8.920000000000016,226,35247.0
570.0,-9.460000000000036,234,36345.0
575.0,-10.979999999999961,245,37546.0
580.0,-21.27000000000004,249,38714.0
585.0,-12.5,257,39979.0
590.0,-12.5,266,41088.0
595.0,-21.69999999999999,275,42440.0
600.0,-21.69999999999999,288,43847.0
605.0,-25.339999999999975,298,45314.0
610.0,-25.339999999999975,291,46611.0
615.0,-24.74000000000001,284,47806.0
620.0,-11.449999999999989,290,49184.0
625.0,-11.449999999999989,313,50675.0
630.0,-26.30000000000001,326,51796.0
635.0,0.19999999999998863,307,50962.0
640.0,0.19999999999998863,306,52300.0
645.0,-25.53000000000003,303,53812.0
650.0,-25.53000000000003,310,55318.0
655.0,-27.339999999999918,318,56882.0
660.0,-15.900000000000091,333,58526.0
665.0,-15.900000000000091,318,57195.0
670.0,0.20000000000004547,310,58747.0
675.0,0.20000000000004547,309,60293.0
680.0,-27.809999999999945,309,61841.0
685.0,-15.480000000000018,307,63372.0
690.0,-15.31000000000006,310,64937.0
695.0,-25.399999999999977,309,66221.0
700.0,-25.399999999999977,319,67780.0
705.0,-28.480000000000018,339,69436.0
710.0,-28.480000000000018,356,70577.0
