step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,1,2.0
75.0,-0.03,2,9.0
80.0,-0.03,1,7.0
85.0,-0.04000000000000001,1,12.0
90.0,-0.04999999999999999,1,17.0
95.0,-0.12,3,27.0
100.0,-0.12,4,45.0
105.0,-0.32999999999999996,4,65.0
110.0,-0.32999999999999996,3,66.0
115.0,-0.15000000000000002,5,84.0
120.0,-0.15000000000000002,8,121.0
125.0,-0.5800000000000001,10,167.0
130.0,-0.5800000000000001,10,206.0
135.0,-0.76,8,254.0
140.0,-0.41000000000000014,7,254.0
145.0,-0.41000000000000014,8,275.0
150.0,-0.52,8,315.0
155.0,-0.52,10,350.0
160.0,-0.75,15,419.0
165.0,-0.75,13,439.0
170.0,-0.7799999999999994,14,507.0
175.0,-0.7799999999999994,17,570.0
180.0,-1.1800000000000006,16,654.0
185.0,-1.46,20,736.0
190.0,-1.46,19,815.0
195.0,-1.5600000000000005,19,910.0
200.0,-1.5600000000000005,24,1027.0
205.0,-2.039999999999999,25,1151.0
210.0,-2.039999999999999,30,1290.0
215.0,-2.4399999999999995,32,1444.0
220.0,-2.4399999999999995,25,1500.0
225.0,-1.8000000000000007,32,1644.0
230.0,-2.710000000000001,33,1804.0
235.0,-2.710000000000001,40,1993.0
240.0,-3.4899999999999984,45,2208.0
245.0,-3.4899999999999984,36,2282.0
250.0,-2.3000000000000007,40,2461.0
255.0,-2.3000000000000007,51,2669.0
260.0,-3.719999999999999,55,2939.0
265.0,-3.719999999999999,57,3219.0
270.0,-4.969999999999999,56,3507.0
275.0,-2.710000000000001,41,3531.0
280.0,-2.710000000000001,56,3736.0
285.0,-4.210000000000001,63,4036.0
290.0,-4.210000000000001,55,4105.0
295.0,-2.9100000000000037,54,4356.0
300.0,-2.9100000000000037,72,4686.0
305.0,-5.589999999999996,85,5091.0
310.0,-5.589999999999996,63,5208.0
315.0,-4.469999999999999,69,5525.0
320.0,-6.289999999999999,86,5923.0
325.0,-6.289999999999999,85,6111.0
330.0,-5.010000000000005,69,6476.0
335.0,-5.010000000000005,85,6860.0
340.0,-7.059999999999995,105,7350.0
345.0,-7.059999999999995,92,7591.0
350.0,-6.3500000000000085,85,8014.0
355.0,-6.3500000000000085,100,8474.0
360.0,-7.949999999999989,114,9032.0
365.0,-6.930000000000007,99,9028.0
370.0,-0.21999999999999886,86,9275.0
375.0,-0.21999999999999886,100,9737.0
380.0,-8.75,120,10301.0
385.0,-8.75,112,10677.0
390.0,-8.230000000000004,104,11192.0
395.0,-8.230000000000004,121,11766.0
400.0,-10.049999999999997,138,12429.0
405.0,-10.049999999999997,125,11405.0
410.0,4.8700000000000045,115,12012.0
415.0,-7.060000000000002,96,11930.0
420.0,0.8700000000000045,82,12069.0
425.0,-0.5100000000000051,90,12147.0
430.0,-2.299999999999997,107,12348.0
435.0,-3.9200000000000017,119,12797.0
440.0,-3.9200000000000017,131,13388.0
445.0,-10.97999999999999,142,14077.0
450.0,-10.97999999999999,136,13041.0
455.0,4.969999999999999,122,13668.0
460.0,4.969999999999999,98,14053.0
465.0,-8.469999999999999,92,14271.0
470.0,-2.0900000000000034,93,14613.0
475.0,-3.5500000000000114,117,15142.0
480.0,-3.5500000000000114,129,15691.0
485.0,-9.819999999999993,149,16414.0
490.0,5.030000000000001,139,15327.0
495.0,5.030000000000001,144,15625.0
500.0,-8.629999999999995,142,15954.0
505.0,-0.30000000000001137,147,16162.0
510.0,-3.469999999999999,153,16733.0
515.0,-3.469999999999999,154,17287.0
520.0,-11.52000000000001,145,17817.0
525.0,-3.789999999999992,156,18290.0
530.0,-5.409999999999997,172,18922.0
535.0,-7.02000000000001,183,19679.0
540.0,-8.469999999999999,198,20621.0
545.0,-8.469999999999999,193,19681.0
550.0,1.7800000000000011,180,17526.0
555.0,24.07000000000002,172,18167.0
560.0,24.07000000000002,150,18869.0
565.0,-14.050000000000011,143,19440.0
570.0,-5.710000000000008,139,20066.0
575.0,-6.259999999999991,142,20730.0
580.0,-6.640000000000015,154,21467.0
585.0,-7.369999999999976,164,22279.0
590.0,1.6699999999999875,152,19919.0
595.0,22.060000000000002,152,19033.0
600.0,17.77000000000001,150,17467.0
605.0,17.77000000000001,147,18104.0
610.0,-12.190000000000026,145,18743.0
615.0,-5.939999999999998,152,19393.0
620.0,-7.039999999999992,154,20132.0
625.0,-7.6200000000000045,161,20915.0
630.0,-8.159999999999997,172,21754.0
635.0,-8.159999999999997,167,21260.0
640.0,-1.7199999999999989,157,20762.0
645.0,17.340000000000003,163,19207.0
650.0,13.47999999999999,158,18978.0
655.0,13.47999999999999,148,19661.0
660.0,-13.090000000000003,164,20357.0
665.0,-7.079999999999984,173,21175.0
670.0,-8.300000000000011,181,21995.0
675.0,-8.149999999999977,179,22862.0
680.0,-8.76000000000002,187,23769.0
685.0,-9.259999999999991,196,24737.0
690.0,-9.719999999999999,212,25764.0
695.0,-10.420000000000016,239,26903.0
700.0,-11.649999999999977,261,28162.0
705.0,-11.649999999999977,257,28177.0
