step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,1,1.0
75.0,0.0,1,6.0
80.0,-0.06,1,11.0
85.0,-0.09,1,16.0
90.0,-0.09,1,21.0
95.0,-0.09,1,26.0
100.0,-0.09,2,33.0
105.0,-0.13,3,45.0
110.0,-0.13,3,60.0
115.0,-0.26,5,78.0
120.0,-0.26,5,101.0
125.0,-0.38,6,130.0
130.0,-0.55,7,163.0
135.0,-0.55,8,203.0
140.0,-0.71,8,243.0
145.0,-0.71,6,243.0
150.0,-0.2799999999999998,7,274.0
155.0,-0.2799999999999998,9,310.0
160.0,-0.6600000000000001,13,368.0
165.0,-0.6600000000000001,16,443.0
170.0,-1.2199999999999998,18,528.0
175.0,-0.8500000000000005,16,617.0
180.0,-1.1399999999999997,16,658.0
185.0,-1.1399999999999997,19,726.0
190.0,-1.4100000000000001,19,821.0
195.0,-1.4100000000000001,24,937.0
200.0,-2.0199999999999996,26,1061.0
205.0,-1.3000000000000007,29,1198.0
210.0,-1.4100000000000001,29,1343.0
215.0,-1.4100000000000001,23,1372.0
220.0,-1.4000000000000004,32,1505.0
225.0,-1.4000000000000004,35,1674.0
230.0,-2.7799999999999976,38,1862.0
235.0,-3.5100000000000016,42,2067.0
240.0,-3.5100000000000016,33,2140.0
245.0,-1.9899999999999984,32,2284.0
250.0,-1.9899999999999984,51,2503.0
255.0,-3.8500000000000014,57,2775.0
260.0,-3.8500000000000014,58,3061.0
265.0,-5.100000000000001,60,3355.0
270.0,-5.100000000000001,36,3373.0
275.0,-2.5399999999999956,38,3249.0
280.0,1.2399999999999949,48,3466.0
285.0,-4.3799999999999955,63,3750.0
290.0,-4.3799999999999955,67,4063.0
295.0,-5.810000000000002,74,4414.0
300.0,-5.810000000000002,63,4582.0
305.0,-4.270000000000003,52,4688.0
310.0,0.17999999999999972,54,4836.0
315.0,0.17999999999999972,72,5143.0
320.0,-5.399999999999999,76,5518.0
325.0,-5.399999999999999,84,5861.0
330.0,-6.439999999999998,84,6293.0
335.0,-5.270000000000003,66,6454.0
340.0,-5.270000000000003,84,6832.0
345.0,-7.219999999999992,103,7312.0
350.0,-7.219999999999992,110,7773.0
355.0,-8.86,115,8336.0
360.0,-8.86,93,8582.0
365.0,-6.730000000000004,77,8553.0
370.0,0.37999999999999545,86,8957.0
375.0,0.37999999999999545,106,9424.0
380.0,-7.929999999999993,115,9995.0
385.0,-9.829999999999998,121,10528.0
390.0,-9.829999999999998,114,10841.0
395.0,-7.550000000000011,96,11105.0
400.0,-0.060000000000002274,93,11352.0
405.0,-0.060000000000002274,112,11848.0
410.0,-9.179999999999993,134,12474.0
415.0,-9.179999999999993,126,12903.0
420.0,-9.38000000000001,114,13194.0
425.0,-2.8100000000000023,114,13745.0
430.0,-2.8100000000000023,133,14350.0
435.0,-10.449999999999989,149,15066.0
440.0,-12.819999999999993,158,15790.0
445.0,-12.819999999999993,164,16574.0
450.0,-14.409999999999997,171,17386.0
455.0,-8.310000000000002,174,18251.0
460.0,-8.310000000000002,179,19125.0
465.0,-15.830000000000013,185,20036.0
470.0,-15.830000000000013,195,20984.0
475.0,-16.939999999999998,203,21980.0
480.0,-10.039999999999992,215,23027.0
485.0,-10.039999999999992,220,24105.0
490.0,-19.200000000000017,231,25236.0
495.0,-20.769999999999982,241,26423.0
500.0,-20.769999999999982,252,27636.0
505.0,-22.20999999999998,264,28928.0
510.0,-22.20999999999998,270,30267.0
515.0,-24.110000000000014,282,31652.0
520.0,-24.110000000000014,269,30668.0
525.0,-1.160000000000025,269,31992.0
530.0,-1.160000000000025,270,33316.0
535.0,-23.860000000000014,271,34668.0
540.0,-24.239999999999952,278,36008.0
545.0,-13.930000000000007,282,37415.0
550.0,-13.930000000000007,280,36482.0
555.0,-1.7200000000000273,272,37848.0
560.0,-1.7200000000000273,259,38314.0
565.0,-15.229999999999961,249,38725.0
570.0,4.46999999999997,239,38288.0
575.0,4.060000000000002,229,37805.0
580.0,5.180000000000007,215,37216.0
585.0,3.329999999999984,201,37491.0
590.0,3.329999999999984,210,38443.0
595.0,-15.300000000000011,235,39554.0
600.0,-15.300000000000011,258,40652.0
605.0,-19.97999999999996,291,42040.0
610.0,-25.79000000000002,334,43565.0
615.0,-25.79000000000002,358,42742.0
620.0,-5.889999999999986,369,44552.0
625.0,-5.889999999999986,378,46306.0
630.0,-32.47000000000003,384,48221.0
635.0,-32.47000000000003,389,50090.0
640.0,-34.089999999999975,397,52047.0
645.0,-34.089999999999975,373,51468.0
650.0,-9.919999999999959,368,53317.0
655.0,-32.98000000000002,372,55117.0
660.0,-18.31000000000006,382,56979.0
665.0,-18.970000000000027,379,58873.0
670.0,-19.049999999999955,381,60780.0
675.0,-19.220000000000027,392,62713.0
680.0,-19.870000000000005,407,64715.0
685.0,-20.589999999999918,422,66789.0
690.0,-21.639999999999986,448,68979.0
695.0,-22.930000000000064,471,71295.0
700.0,-22.930000000000064,481,71008.0
705.0,-15.950000000000045,456,73334.0
710.0,-15.950000000000045,463,75418.0
