step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,-0.01,2,6.0
75.0,-0.09000000000000001,2,16.0
80.0,-0.1,2,26.0
85.0,-0.09999999999999998,2,36.0
90.0,-0.10000000000000003,3,48.0
95.0,-0.14,4,65.0
100.0,-0.18999999999999995,5,86.0
105.0,-0.22999999999999998,5,111.0
110.0,-0.25,6,137.0
115.0,-0.30000000000000004,7,172.0
120.0,-0.3500000000000001,8,208.0
125.0,-0.3800000000000001,10,252.0
130.0,-0.48999999999999977,11,306.0
135.0,-0.5499999999999998,11,361.0
140.0,-0.5700000000000003,12,421.0
145.0,-0.6000000000000001,14,484.0
150.0,-0.6699999999999999,17,563.0
155.0,-0.8899999999999997,21,664.0
160.0,-1.0499999999999998,22,772.0
165.0,-1.12,24,890.0
170.0,-1.12,15,662.0
175.0,1.4100000000000001,20,748.0
180.0,1.4100000000000001,21,798.0
185.0,-1.2100000000000009,20,906.0
190.0,-0.7300000000000004,17,888.0
195.0,-0.7300000000000004,24,996.0
200.0,-1.9699999999999989,24,1116.0
205.0,-1.9699999999999989,8,709.0
210.0,3.4499999999999993,13,756.0
215.0,3.4499999999999993,28,871.0
220.0,-1.7599999999999998,30,1016.0
225.0,-1.5,35,1185.0
230.0,-1.7200000000000006,41,1374.0
235.0,-1.959999999999999,43,1589.0
240.0,-2.1599999999999984,49,1822.0
245.0,-2.3800000000000026,53,2076.0
250.0,-2.5799999999999983,58,2354.0
255.0,-2.8599999999999994,64,2669.0
260.0,-3.1799999999999997,65,2990.0
265.0,-3.2300000000000004,66,3320.0
270.0,-3.3099999999999987,70,3658.0
275.0,-3.440000000000005,80,4045.0
280.0,-3.440000000000005,56,3655.0
285.0,0.7600000000000051,72,3975.0
290.0,-6.380000000000003,85,4378.0
295.0,-6.380000000000003,80,4154.0
300.0,-0.7700000000000031,69,4506.0
305.0,-0.7700000000000031,75,4189.0
310.0,0.39000000000000057,56,3944.0
315.0,7.719999999999999,42,3252.0
320.0,6.320000000000004,39,3043.0
325.0,6.320000000000004,62,3306.0
330.0,-4.459999999999997,83,3685.0
335.0,-3.990000000000002,99,4150.0
340.0,-4.789999999999999,107,4673.0
345.0,-5.310000000000002,112,5229.0
350.0,-5.589999999999996,116,5799.0
355.0,-5.760000000000005,122,6398.0
360.0,-5.760000000000005,97,6137.0
365.0,-2.1999999999999957,87,6592.0
370.0,-8.479999999999997,110,7095.0
375.0,-6.040000000000006,134,7723.0
380.0,-6.989999999999995,144,8432.0
385.0,-7.300000000000011,149,9167.0
390.0,-7.719999999999999,161,9951.0
395.0,-8.129999999999995,167,10770.0
400.0,-8.429999999999993,175,11621.0
405.0,-8.850000000000009,180,12511.0
410.0,-8.850000000000009,174,12516.0
415.0,-6.780000000000001,152,12580.0
420.0,6.469999999999999,136,12638.0
425.0,6.469999999999999,127,12358.0
430.0,-2.4799999999999898,123,12073.0
435.0,11.219999999999999,119,11846.0
440.0,11.219999999999999,124,12432.0
445.0,-10.730000000000004,131,13082.0
450.0,-6.549999999999997,154,13799.0
455.0,-7.430000000000007,177,14643.0
460.0,-8.669999999999987,204,15608.0
465.0,-9.890000000000015,213,16657.0
470.0,-10.569999999999993,219,17740.0
475.0,-10.900000000000006,234,18878.0
480.0,-11.519999999999982,246,20081.0
485.0,-12.140000000000015,253,21332.0
490.0,-12.629999999999995,269,22656.0
495.0,-13.349999999999994,278,24028.0
500.0,-13.830000000000013,292,25463.0
505.0,-14.48999999999998,304,26960.0
510.0,-15.060000000000002,311,28500.0
515.0,-15.060000000000002,286,28870.0
520.0,-16.060000000000002,272,28271.0
525.0,5.990000000000009,263,27862.0
530.0,4.089999999999975,247,27613.0
535.0,2.490000000000009,237,28614.0
540.0,-5.420000000000016,225,27068.0
545.0,14.550000000000011,220,26920.0
550.0,12.990000000000009,218,25235.0
555.0,14.609999999999985,209,23871.0
560.0,14.609999999999985,199,24787.0
565.0,-15.299999999999983,215,25890.0
570.0,-10.730000000000018,238,26981.0
575.0,-11.589999999999975,246,28205.0
580.0,-12.470000000000027,261,29502.0
585.0,-13.490000000000009,277,30842.0
590.0,-14.029999999999973,303,32302.0
595.0,-14.029999999999973,310,32847.0
600.0,-17.650000000000034,314,33468.0
605.0,2.330000000000041,316,33368.0
610.0,0.14999999999997726,313,34164.0
615.0,0.14999999999997726,309,35015.0
620.0,-21.060000000000002,311,35316.0
625.0,-3.009999999999991,318,36082.0
630.0,-5.610000000000014,332,36816.0
635.0,-8.360000000000014,346,37811.0
640.0,-9.919999999999959,370,39204.0
645.0,-15.670000000000016,398,41084.0
650.0,-15.670000000000016,389,42089.0
655.0,-25.079999999999984,381,42200.0
660.0,-1.1100000000000136,376,42475.0
665.0,-2.75,359,42755.0
670.0,-2.8000000000000114,349,43033.0
675.0,-2.7799999999999727,336,43335.0
680.0,-3.0200000000000387,321,44788.0
685.0,-9.769999999999982,307,42936.0
690.0,18.24000000000001,306,42801.0
695.0,16.600000000000023,301,40872.0
700.0,14.619999999999948,304,38471.0
