step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,1,1.0
70.0,-0.01,1,6.0
75.0,-0.09000000000000001,1,11.0
80.0,-0.04999999999999999,1,16.0
85.0,-0.04999999999999999,0,0.0
90.0,0.15,1,1.0
95.0,-0.04,1,6.0
100.0,-0.07999999999999999,2,16.0
105.0,-0.07999999999999999,2,26.0
110.0,-0.18,4,41.0
115.0,-0.18,3,16.0
120.0,0.10999999999999999,3,31.0
125.0,0.10999999999999999,3,28.0
130.0,-0.09000000000000002,4,49.0
135.0,-0.29999999999999993,4,56.0
140.0,-0.16000000000000003,5,79.0
145.0,-0.16000000000000003,3,57.0
150.0,0.05999999999999994,5,78.0
155.0,0.05999999999999994,5,76.0
160.0,-0.17999999999999994,8,108.0
165.0,-0.43000000000000005,12,163.0
170.0,-0.5999999999999999,13,228.0
175.0,-0.6599999999999999,14,297.0
180.0,-0.6599999999999999,11,290.0
185.0,-0.45999999999999996,11,339.0
190.0,-0.5,16,411.0
195.0,-0.5,4,265.0
200.0,0.8599999999999999,10,305.0
205.0,-0.6699999999999999,10,342.0
210.0,-0.5800000000000001,13,403.0
215.0,-0.6800000000000002,14,472.0
220.0,-0.6800000000000002,16,545.0
225.0,-1.38,22,640.0
230.0,-1.38,24,641.0
235.0,-0.9299999999999997,29,678.0
240.0,0.17999999999999972,32,763.0
245.0,0.17999999999999972,24,559.0
250.0,0.8799999999999999,36,709.0
255.0,0.8799999999999999,14,635.0
260.0,-0.5199999999999996,27,737.0
265.0,-1.83,36,854.0
270.0,-1.83,32,743.0
275.0,-0.16999999999999993,36,906.0
280.0,-0.16999999999999993,29,825.0
285.0,-0.39000000000000057,26,942.0
290.0,-0.39000000000000057,44,1069.0
295.0,-2.42,58,1333.0
300.0,-2.42,35,1277.0
305.0,-1.6099999999999994,26,1038.0
310.0,2.389999999999999,33,1190.0
315.0,0.25,31,1044.0
320.0,0.25,50,1141.0
325.0,-2.9499999999999993,58,1424.0
330.0,-2.9499999999999993,71,1713.0
335.0,-5.49,75,2080.0
340.0,-5.49,60,2141.0
345.0,-3.3999999999999986,42,1977.0
350.0,2.5,47,2117.0
355.0,2.5,66,2406.0
360.0,-4.59,76,2781.0
365.0,-3.900000000000002,55,2851.0
370.0,-3.900000000000002,69,3157.0
375.0,-5.920000000000002,88,3562.0
380.0,-5.920000000000002,81,3423.0
385.0,-1.8299999999999983,65,3770.0
390.0,-1.8299999999999983,71,3924.0
395.0,-4.310000000000002,97,4205.0
400.0,-2.809999999999995,116,4731.0
405.0,-2.809999999999995,94,4557.0
410.0,-2.740000000000002,89,5003.0
415.0,-8.280000000000001,108,5493.0
420.0,-8.280000000000001,121,5545.0
425.0,-5.019999999999996,105,6099.0
430.0,-5.019999999999996,104,6546.0
435.0,-8.780000000000008,127,7132.0
440.0,-8.780000000000008,123,7142.0
445.0,-3.969999999999999,110,6572.0
450.0,4.840000000000003,96,7067.0
455.0,4.840000000000003,102,7471.0
460.0,-7.929999999999993,129,8067.0
465.0,-10.61,145,8677.0
470.0,-10.61,161,9429.0
475.0,-13.970000000000013,176,10277.0
480.0,-13.970000000000013,166,10341.0
485.0,-7.339999999999989,153,10408.0
490.0,5.909999999999997,143,10507.0
495.0,5.909999999999997,149,11165.0
500.0,-12.450000000000003,168,11966.0
505.0,-12.450000000000003,162,11962.0
510.0,-6.450000000000003,166,11283.0
515.0,6.790000000000006,165,12093.0
520.0,-14.230000000000004,174,12880.0
525.0,-14.230000000000004,176,13029.0
530.0,-8.27000000000001,166,13862.0
535.0,-8.27000000000001,177,14618.0
540.0,-14.469999999999999,197,15554.0
545.0,-14.469999999999999,194,15770.0
550.0,-9.849999999999994,196,16735.0
555.0,-9.849999999999994,201,17604.0
560.0,-16.389999999999986,227,18690.0
565.0,-19.099999999999994,252,19766.0
570.0,-19.099999999999994,258,20026.0
575.0,-12.550000000000011,249,21262.0
580.0,-12.550000000000011,250,21614.0
585.0,-13.360000000000014,255,22858.0
590.0,-13.360000000000014,234,23025.0
595.0,-11.45999999999998,219,24132.0
600.0,-11.45999999999998,194,24228.0
605.0,-9.77000000000001,176,23476.0
610.0,7.52000000000001,161,22840.0
615.0,6.359999999999985,149,22198.0
620.0,6.420000000000016,163,22901.0
625.0,-11.79000000000002,184,23364.0
630.0,-6.1699999999999875,219,24213.0
635.0,-6.1699999999999875,258,25253.0
640.0,-20.600000000000023,288,26624.0
645.0,-20.600000000000023,305,26826.0
650.0,-13.829999999999984,324,28389.0
655.0,-13.829999999999984,335,29860.0
660.0,-27.629999999999995,357,31596.0
665.0,-27.629999999999995,350,32600.0
670.0,-24.0,354,34371.0
675.0,-29.569999999999993,348,35905.0
680.0,-29.569999999999993,345,36259.0
685.0,-15.069999999999993,326,36633.0
690.0,7.740000000000009,300,36897.0
695.0,7.740000000000009,304,38201.0
700.0,-25.100000000000023,305,39532.0
705.0,-12.519999999999982,329,40937.0
710.0,-14.960000000000036,371,42630.0
715.0,-14.960000000000036,399,44353.0
720.0,-32.079999999999984,410,46385.0
