step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,-0.04,1,5.0
85.0,-0.049999999999999996,2,11.0
90.0,-0.1,2,21.0
95.0,-0.09999999999999998,2,31.0
100.0,-0.10000000000000003,2,41.0
105.0,-0.09999999999999998,2,51.0
110.0,-0.13,4,66.0
115.0,-0.22999999999999998,5,90.0
120.0,-0.2500000000000001,5,115.0
125.0,-0.2500000000000001,7,144.0
130.0,-0.5499999999999998,8,181.0
135.0,-0.5499999999999998,7,197.0
140.0,-0.45999999999999996,8,234.0
145.0,-0.45999999999999996,7,251.0
150.0,-0.4700000000000002,8,287.0
155.0,-0.4700000000000002,11,333.0
160.0,-0.75,12,371.0
165.0,-0.9100000000000001,15,439.0
170.0,-0.9100000000000001,15,493.0
175.0,-1.1399999999999997,15,568.0
180.0,-0.7800000000000002,18,651.0
185.0,-0.9199999999999999,19,746.0
190.0,-0.9199999999999999,20,842.0
195.0,-1.7599999999999998,25,956.0
200.0,-1.7599999999999998,26,1054.0
205.0,-1.9600000000000009,28,1189.0
210.0,-1.9600000000000009,23,1264.0
215.0,-1.8399999999999999,28,1391.0
220.0,-2.389999999999999,29,1532.0
225.0,-2.389999999999999,26,1645.0
230.0,-2.209999999999999,32,1784.0
235.0,-2.209999999999999,38,1963.0
240.0,-3.1800000000000033,43,2169.0
245.0,-3.1800000000000033,30,2276.0
250.0,-2.629999999999999,40,2444.0
255.0,-2.629999999999999,49,2675.0
260.0,-3.6999999999999993,48,2933.0
265.0,-2.8900000000000006,35,2999.0
270.0,-2.8900000000000006,49,3212.0
275.0,-4.109999999999999,58,3491.0
280.0,-4.109999999999999,46,3604.0
285.0,-3.1300000000000026,48,3824.0
290.0,-3.1300000000000026,65,4122.0
295.0,-5.009999999999998,72,4467.0
300.0,-5.009999999999998,55,4593.0
305.0,-4.039999999999999,66,4896.0
310.0,-5.969999999999999,84,5274.0
315.0,-5.969999999999999,77,5482.0
320.0,-4.940000000000005,63,5808.0
325.0,-4.940000000000005,84,6184.0
330.0,-6.789999999999999,99,6653.0
335.0,-6.789999999999999,82,6877.0
340.0,-5.719999999999992,79,7245.0
345.0,-5.719999999999992,98,7699.0
350.0,-7.640000000000001,111,8254.0
355.0,-7.079999999999998,86,8493.0
360.0,-7.079999999999998,102,8951.0
365.0,-8.700000000000003,122,9516.0
370.0,-8.700000000000003,115,9857.0
375.0,-7.939999999999998,100,10372.0
380.0,-7.939999999999998,117,10916.0
385.0,-9.690000000000012,138,11572.0
390.0,-9.690000000000012,119,11912.0
395.0,-8.719999999999999,103,11987.0
400.0,-0.75,111,12520.0
405.0,-10.159999999999997,131,13134.0
410.0,-10.159999999999997,139,13589.0
415.0,-9.859999999999985,123,14030.0
420.0,-2.460000000000008,120,14353.0
425.0,-3.8600000000000136,118,14856.0
430.0,-3.8600000000000136,137,15483.0
435.0,-11.469999999999999,158,16226.0
440.0,-11.469999999999999,161,16673.0
445.0,-10.650000000000006,165,17073.0
450.0,-2.3999999999999773,176,17759.0
455.0,-2.3999999999999773,156,18362.0
460.0,-12.890000000000015,142,18734.0
465.0,-3.719999999999999,145,19181.0
470.0,-4.469999999999999,153,19727.0
475.0,-5.460000000000008,160,20506.0
480.0,-13.97999999999999,173,21298.0
485.0,-8.169999999999987,181,22123.0
490.0,-8.169999999999987,189,22775.0
495.0,-14.01000000000002,194,23542.0
500.0,-6.189999999999998,207,24286.0
505.0,-9.22999999999999,216,25316.0
510.0,-9.22999999999999,209,26148.0
515.0,-16.640000000000015,193,26935.0
520.0,-5.96999999999997,187,27574.0
525.0,-6.830000000000041,198,28413.0
530.0,-6.830000000000041,194,26971.0
535.0,6.6299999999999955,201,27954.0
540.0,6.6299999999999955,207,28887.0
545.0,-17.20999999999998,203,29916.0
550.0,-15.70999999999998,177,30456.0
555.0,-5.330000000000041,168,31159.0
560.0,-5.899999999999977,167,31748.0
565.0,-5.899999999999977,179,32462.0
570.0,-14.560000000000002,208,33313.0
575.0,-8.180000000000007,233,34244.0
580.0,-10.45999999999998,248,35388.0
585.0,-12.579999999999984,271,36697.0
590.0,-12.579999999999984,272,35471.0
595.0,5.479999999999961,265,36408.0
600.0,5.479999999999961,256,37435.0
605.0,-20.75,237,38122.0
610.0,-6.689999999999998,215,38851.0
615.0,-6.349999999999966,218,39500.0
620.0,-6.9500000000000455,222,40292.0
625.0,-7.569999999999993,235,41334.0
630.0,-7.569999999999993,220,39850.0
635.0,5.920000000000016,225,40951.0
640.0,-17.44999999999999,223,41818.0
645.0,-17.44999999999999,221,40423.0
650.0,5.259999999999991,205,39145.0
655.0,36.889999999999986,197,37719.0
660.0,36.889999999999986,196,38423.0
665.0,-13.949999999999989,177,39089.0
670.0,-4.2099999999999795,169,39482.0
675.0,-4.640000000000043,172,40049.0
680.0,-6.029999999999973,177,40690.0
685.0,-6.850000000000023,174,41364.0
690.0,-7.359999999999957,193,42256.0
695.0,-7.359999999999957,213,43120.0
700.0,-16.52000000000004,234,44045.0
