step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,-0.03,2,7.0
90.0,-0.1,2,17.0
95.0,-0.1,2,27.0
100.0,-0.1,2,37.0
105.0,-0.10999999999999999,3,50.0
110.0,-0.14999999999999997,3,65.0
115.0,-0.19000000000000006,5,88.0
120.0,-0.25,5,113.0
125.0,-0.25,6,139.0
130.0,-0.25,6,169.0
135.0,-0.53,6,199.0
140.0,-0.53,6,206.0
145.0,-0.31000000000000005,8,242.0
150.0,-0.31000000000000005,8,274.0
155.0,-0.6200000000000001,9,316.0
160.0,-0.7899999999999996,10,363.0
165.0,-0.7899999999999996,13,406.0
170.0,-0.9600000000000004,16,480.0
175.0,-0.9600000000000004,15,545.0
180.0,-1.2599999999999998,17,624.0
185.0,-1.2599999999999998,19,711.0
190.0,-1.5599999999999996,22,816.0
195.0,-1.5599999999999996,21,900.0
200.0,-1.6900000000000004,22,1015.0
205.0,-1.75,23,1098.0
210.0,-1.75,28,1231.0
215.0,-2.4000000000000004,31,1375.0
220.0,-2.4000000000000004,31,1516.0
225.0,-2.639999999999999,36,1686.0
230.0,-2.639999999999999,27,1746.0
235.0,-1.9400000000000013,34,1899.0
240.0,-1.9400000000000013,42,2079.0
245.0,-3.0599999999999987,42,2300.0
250.0,-2.370000000000001,32,2348.0
255.0,-2.370000000000001,46,2543.0
260.0,-3.780000000000001,52,2798.0
265.0,-3.780000000000001,38,2904.0
270.0,-2.8099999999999987,40,3088.0
275.0,-2.8099999999999987,55,3335.0
280.0,-4.18,65,3646.0
285.0,-4.18,45,3740.0
290.0,-3.469999999999999,60,4004.0
295.0,-5.410000000000004,76,4357.0
300.0,-5.410000000000004,69,4550.0
305.0,-4.539999999999999,53,4698.0
310.0,-0.0799999999999983,53,4849.0
315.0,-0.0799999999999983,70,5169.0
320.0,-5.799999999999997,84,5568.0
325.0,-5.799999999999997,68,5808.0
330.0,-5.490000000000002,71,6142.0
335.0,-5.490000000000002,93,6571.0
340.0,-6.989999999999995,97,7063.0
345.0,-6.6000000000000085,78,7309.0
350.0,-6.6000000000000085,89,7721.0
355.0,-7.890000000000001,110,8237.0
360.0,-7.890000000000001,103,8582.0
365.0,-7.519999999999996,84,8853.0
370.0,-1.0100000000000051,85,9013.0
375.0,-2.1899999999999977,89,9354.0
380.0,-2.1899999999999977,104,9847.0
385.0,-8.61,113,10391.0
390.0,-8.61,99,10763.0
395.0,-8.099999999999994,113,11295.0
400.0,-10.11,126,11900.0
405.0,-10.11,122,10850.0
410.0,5.799999999999997,108,11410.0
415.0,5.799999999999997,92,11721.0
420.0,-6.920000000000002,75,11959.0
425.0,-0.9200000000000017,82,12207.0
430.0,-0.9200000000000017,110,12682.0
435.0,-8.179999999999993,142,13328.0
440.0,-8.179999999999993,127,12343.0
445.0,4.529999999999987,119,12956.0
450.0,-8.069999999999993,93,13243.0
455.0,-8.069999999999993,96,13673.0
460.0,-8.370000000000005,123,14225.0
465.0,-8.370000000000005,133,13224.0
470.0,5.02000000000001,134,13879.0
475.0,5.02000000000001,120,14210.0
480.0,-8.420000000000016,116,14789.0
485.0,-8.420000000000016,128,15347.0
490.0,-10.199999999999989,148,16054.0
495.0,3.0500000000000114,150,15192.0
500.0,3.0500000000000114,161,15591.0
505.0,-10.180000000000007,151,16366.0
510.0,-10.180000000000007,151,17090.0
515.0,-13.289999999999992,163,17863.0
520.0,-13.289999999999992,172,17160.0
525.0,0.549999999999983,187,18047.0
530.0,0.549999999999983,188,18440.0
535.0,-11.060000000000002,180,18573.0
540.0,-1.329999999999984,173,19455.0
545.0,-15.140000000000015,180,20267.0
550.0,-15.140000000000015,190,19708.0
555.0,-1.9799999999999898,203,20687.0
560.0,-1.9799999999999898,208,21241.0
565.0,-13.800000000000011,221,22306.0
570.0,-13.800000000000011,228,23319.0
575.0,-18.799999999999983,236,24477.0
580.0,-18.799999999999983,218,24103.0
585.0,-5.5800000000000125,216,25178.0
590.0,-13.719999999999999,211,25686.0
595.0,-13.719999999999999,235,26694.0
600.0,-19.350000000000023,248,27830.0
605.0,-11.259999999999991,259,29057.0
610.0,-11.259999999999991,258,28791.0
615.0,-7.550000000000011,255,30049.0
620.0,-7.550000000000011,259,30697.0
625.0,-16.639999999999986,263,31022.0
630.0,-1.2799999999999727,265,31252.0
635.0,-2.6299999999999955,264,31600.0
640.0,-2.7000000000000455,262,31857.0
645.0,-2.9699999999999704,249,32039.0
650.0,-2.4499999999999886,237,32455.0
655.0,-2.6200000000000045,235,32738.0
660.0,-4.25,251,33771.0
665.0,-4.25,271,34961.0
670.0,-21.160000000000025,311,36174.0
675.0,-9.71999999999997,320,34602.0
680.0,16.149999999999977,335,34404.0
685.0,12.579999999999984,347,33407.0
690.0,12.579999999999984,338,34702.0
695.0,-26.17999999999995,309,35891.0
700.0,-7.2000000000000455,290,36615.0
705.0,-7.180000000000007,270,37338.0
710.0,-6.599999999999966,248,37988.0
