traffic_light,step_time,reward,lanes_queue,waiting_time_per_lane
t,315.0,-0.34999999999999964,"[0, 0, 6, 5]","[0.0, 0.0, 515.0, 473.0]"
t,320.0,-0.6400000000000006,"[0, 0, 8, 8]","[0.0, 0.0, 550.0, 507.0]"
t,325.0,-0.9399999999999995,"[0, 0, 12, 11]","[0.0, 0.0, 603.0, 555.0]"
t,330.0,-1.3100000000000005,"[0, 0, 15, 15]","[0.0, 0.0, 674.0, 622.0]"
t,335.0,-1.3100000000000005,"[0, 0, 13, 13]","[0.0, 0.0, 658.0, 529.0]"
t,340.0,1.3800000000000008,"[1, 0, 10, 9]","[3.0, 0.0, 461.0, 433.0]"
t,345.0,2.119999999999999,"[0, 0, 7, 6]","[1.0, 0.0, 499.0, 417.0]"
t,350.0,-0.33999999999999986,"[0, 0, 5, 4]","[0.0, 0.0, 528.0, 441.0]"
t,355.0,-0.4900000000000002,"[0, 0, 7, 7]","[0.0, 0.0, 556.0, 469.0]"
t,360.0,-0.7400000000000002,"[0, 0, 10, 10]","[0.0, 0.0, 601.0, 511.0]"
t,365.0,-1.08,"[0, 0, 13, 13]","[0.0, 0.0, 662.0, 571.0]"
t,370.0,-1.08,"[0, 0, 12, 11]","[0.0, 0.0, 567.0, 488.0]"
t,375.0,1.2599999999999998,"[1, 0, 9, 9]","[5.0, 0.0, 480.0, 406.0]"
t,380.0,1.6400000000000006,"[0, 0, 6, 6]","[0.0, 0.0, 518.0, 377.0]"
t,385.0,-0.27999999999999936,"[0, 0, 6, 3]","[0.0, 0.0, 550.0, 397.0]"
t,390.0,-0.47000000000000064,"[0, 0, 6, 5]","[0.0, 0.0, 500.0, 349.0]"
t,395.0,2.21,"[0, 0, 5, 3]","[0.0, 0.0, 379.0, 259.0]"
t,400.0,2.2700000000000005,"[0, 0, 4, 2]","[0.0, 0.0, 287.0, 193.0]"
t,405.0,2.2700000000000005,"[0, 0, 3, 0]","[0.0, 0.0, 303.0, 195.0]"
t,410.0,0.14999999999999947,"[0, 0, 4, 3]","[0.0, 0.0, 320.0, 206.0]"
t,415.0,-0.3099999999999996,"[0, 0, 5, 5]","[0.0, 0.0, 294.0, 189.0]"
t,420.0,1.13,"[1, 0, 3, 3]","[1.0, 0.0, 217.0, 131.0]"
t,425.0,1.2799999999999998,"[1, 1, 3, 2]","[6.0, 4.0, 149.0, 110.0]"
